sentence,nsubj,root,root_idx,nsubj_idx,best_layer,best_head,attention_value
""" Ben değişim hedefiyle yola çıktım .",Ben,yola,4,1,7,10,0.7889924645423889
"CHP'li muhaliflerin itirazını haklı bulan YSK , Ümraniye kongresini iptal etti",YSK,iptal,13,8,7,8,0.8484423160552979
"Kızılırmak kenarında yetişmiş bu pembe kır çiçeğine , başkentin bütün uçuk renkleri , baygın kokuları bir incelik veriyordu veriyor du .",renkleri,veriyor,22,15,10,6,0.28689420223236084
"Bu arada cezaevinden çıkan Deniz , ODTÜ'ye geldi .",Deniz,geldi,9,4,11,0,0.8303449749946594
3 - Yusuf da Revivo ile değişerek oynayabilir veya kapalı defans yapan zayıf rakipler önünde yararlı olur .,Yusuf,oynayabilir,10,2,11,7,0.5088924169540405
""" Yılmaz Güney'i sevk ediyorlar , neresi olduğunu bilmiyoruz , bugün ziyaret yasak , "" dedi ve dediği gibi izinden dönen mahkûmları alıp gitti .",ziyaret,dedi,17,13,7,4,0.3991830348968506
Romantikte de böyle bir yan var .,yan,var,7,6,4,0,0.999945878982544
Aslan erkeği gibi o da sosyal ve arkadaşlar arasında hoş sohbetleri sever .,o,sever,12,3,8,4,0.7065393924713135
"Açıklanması veya öğrenilmesi , devletin dış ilişkilerine , milli savunmasına ve milli güvenliğine zarar verebilecek , anayasal düzeni ve dış ilişkilerinde tehlike yaratabilecek ve bu nedenlerle niteliği itibarıyla gizli kalması gereken bilgi ve belgeler "" devlet sırrı "" olarak kabul edilecek .",bilgi,kabul,42,34,8,1,0.1036510244011879
Ahlar vahlar arasında neredeyse sezon daha başlamadan acınacak hale geldik .,sezon,geldik,12,6,7,4,0.2872137427330017
"Kuruluşunun 100'üncü yılını Avrupa'da ve Türkiye'de çeşitli etkinliklerle kutlayan Renault , 1998 yılını bulunduğu tüm pazarlarda atılım yılı ilan etti .",Renault,ilan,25,16,7,8,0.40550512075424194
Oynadığı 21 maçtan 17'sini kazanmayı bilen Bursa ekibi ligde kalan maçları da kazanarak Play - Off'lara zirvede girmek istiyor .,ekibi,istiyor,24,11,8,3,0.7826995849609375
Büyük ayaklarıma küçük numaralı döküntü bir spor ayakkabı hediye edildi .,spor,hediye,9,7,3,10,0.38045287132263184
"Bakın hele kaç "" L "" oldu kaşla göz arasında .",L,oldu,6,4,9,2,0.47861289978027344
"- Çünkü onlar , senin gibi gelip beni ziyaret etmediler .",onlar,ziyaret,8,2,7,8,0.9458207488059998
Etkinlik kapsamında Anma ve Saygı Geceleri de yer alıyor .,Geceleri,yer,7,5,4,7,0.6957101821899414
"Ben şimdi öder gelirim , dedi .",Ben,dedi,5,0,5,6,0.9934700727462769
Sizce de Haydar Dümen’in artık emekliye ayrılması gerekmiyor mu ?,Haydar,gerekmiyor,12,3,11,2,0.2874733805656433
İlk yüksek tahsil merkezleri Avrupa'da çok daha sonraları ortaya çıktılar .,merkezleri,ortaya,10,3,7,8,0.9381694197654724
"Bu onları duyarlı , empatik ve merhametli yapar .",Bu,yapar,8,0,5,8,0.9368090629577637
""" Allahım bu açığı kapatmalıyım , niye bu kitapların sayfasını açmamışım ben "" diye diye test çözüyor ...",ben,test,18,14,7,5,0.3824043571949005
"Bir insandan nefret etmek için , onun seni kırması , sana kötülük yapması gerekir değil mi ? Bana hiçbir şey yapmıyordu .",onun,gerekir,14,6,11,10,0.28240957856178284
"İki taraf da sorunu masa başında çözmek istiyor "" dedi .",taraf,dedi,9,1,7,10,0.32836848497390747
Bunlar genel sorulardı sorular dı .,Bunlar,sorular,4,0,3,3,0.9461849331855774
19 Ocak'da dost burcunuz Oğlakta doğan Yeni Ay yeni biriyle tanışma veya aşk ilişkisine başlama şansı getiriyor .,Yeni,getiriyor,20,10,11,11,0.40692323446273804
Onun bir birikimi var bende .,birikimi,var,3,2,4,0,0.9998238682746887
Ne yol bitiyor ne yeşil ne de mavi .,yol,bitiyor,2,1,4,0,0.9999854564666748
Bir kazan gerekti .,kazan,gerekti,2,1,4,0,0.9965947270393372
"Mutfak montajı hakkında en ufak bir bilgisi yoktu yok tu , ama gözüne kestirdiği şeyin peşine düşerdi .",bilgisi,yok,7,6,4,1,0.9981661438941956
Ziyaretçilere bölgelere has yiyecek ve içeceklerden de ikram edildi .,yiyecek,ikram,9,4,3,10,0.23478399217128754
Pakistan Leşker'e karşı harekete geçti,Pakistan,harekete,7,0,5,6,0.9961131811141968
O kendini savunur .,O,savunur,2,0,5,6,0.9998185038566589
