sentence,nsubj,root,nsubj_idx,root_idx,best_layer,best_head,attention_value
""" Ufak at da civcivler yesin "" derken , "" Kendine gel de ilişkimiz devam etsin "" demek istiyorum .",ilişkimiz,istiyorum,15,20,3,11,0.35244861245155334
"Saddam Hüseyin , 42 yaşında iken bir darbeyle iktidara el koydu .",Saddam,el,1,10,1,8,0.2789047062397003
Genel yapısı içerisinde ihracat teşviki yok denecek bir seviyede bulunmaktadır .,teşviki,bulunmaktadır,5,10,8,11,0.4585806131362915
"O halde , "" kaybeden sanatçı "" açısından geçmişi yeniden günışığına sürmek , hiç de önemsiz değil .",sürmek,önemsiz,14,18,8,11,0.33368757367134094
"İşte bu epizodda , Vâmık Bey'in köşküne giden yolda , anlatıcı , "" insan sefaletlerinin bir sergisini görür .",anlatıcı,görür,18,26,7,3,0.3225651979446411
Ancak bu bir teferruat gayet tabii ki .,bu,teferruat,2,4,4,0,0.39678287506103516
Yalnızca TPAO ve BOTAŞ tarafından 2 adet proje yürütülüyor .,proje,yürütülüyor,8,9,3,0,0.9971488118171692
"Kesinlikle ve kesinlikle kan davası diye bir şey olmayacaktır olmayacak tır "" dedi .",şey,dedi,8,13,0,8,0.07986297458410263
""" Ben değişim hedefiyle yola çıktım .",Ben,yola,2,5,7,3,0.312546044588089
"CHP'li muhaliflerin itirazını haklı bulan YSK , Ümraniye kongresini iptal etti",YSK,iptal,8,12,1,2,0.3819120228290558
"Matematik , fizik , kimya yanı başımda , bir sürü ahali , bilim konuşuyorum .",Matematik,yanı,1,6,7,6,0.4895235598087311
Üstü başı çamur oldu .,Üstü,oldu,1,4,4,0,0.49140894412994385
Faili meçhul cinayet kurbanları için yıllardır karanlığa kurşun sıkılıyor .,kurşun,sıkılıyor,8,9,3,0,0.9997140765190125
"Ama Ada vapuruna , üç , dört saat vardı vardı dı .",saat,vardı,9,10,3,0,0.9997701048851013
"Kızılırmak kenarında yetişmiş bu pembe kır çiçeğine , başkentin bütün uçuk renkleri , baygın kokuları bir incelik veriyordu veriyor du .",renkleri,veriyor,13,20,7,3,0.35407504439353943
Ancak Satürn'ün gelişiyle birlikte dostlarınız ya taşındı ve uzaklaştı yada ya da aranızdaki sorunlar nedeniyle ayrıldınız .,dostlarınız,taşındı,7,9,7,8,0.5859696269035339
"Bu arada cezaevinden çıkan Deniz , ODTÜ'ye geldi .",Deniz,geldi,5,10,4,3,0.20452618598937988
"Salamis'teki kral mezarlarında yalnızca Yunan değil , Mısır ve Anadolu etkileri de görülmektedir .",etkileri,görülmektedir,15,17,6,10,0.8020395636558533
