Item_set,Sentence,Item_Type,Case,Number,Correct_Resp,Group,Exp_No
1,Göçmenin sözcüleri geçen hafta protestoda aralıksız bağırdılar.,experimental,gen,targetMatch,Yes,A,Exp1
1,Göçmenlerin sözcüsü geçen hafta protestoda aralıksız bağırdılar.,experimental,gen,attractorMatch,No,B,Exp1
1,Göçmenin sözcüsü geçen hafta protestoda aralıksız bağırdılar.,experimental,gen,noMatch,No,C,Exp1
1,Göçmen sözcüleri geçen hafta protestoda aralıksız bağırdılar.,experimental,nom,targetMatch,Yes,D,Exp1
1,Göçmenler sözcüsü geçen hafta protestoda aralıksız bağırdılar.,experimental,nom,attractorMatch,No,E,Exp1
1,Göçmen sözcüsü geçen hafta protestoda aralıksız bağırdılar.,experimental,nom,noMatch,No,F,Exp1
2,Stajyerin temsilcileri bugünkü toplantıda edepsiz edepsiz konuştular.,experimental,gen,targetMatch,Yes,A,Exp1
2,Stajyerlerin temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,experimental,gen,attractorMatch,No,B,Exp1
2,Stajyerin temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,experimental,gen,noMatch,No,C,Exp1
2,Stajyer temsilcileri bugünkü toplantıda edepsiz edepsiz konuştular.,experimental,nom,targetMatch,Yes,D,Exp1
2,Stajyerler temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,experimental,nom,attractorMatch,No,E,Exp1
2,Stajyer temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,experimental,nom,noMatch,No,F,Exp1
3,Esnafın yöneticileri seçimden sonra senatoda sertçe tartıştılar.,experimental,gen,targetMatch,Yes,A,Exp1
3,Esnafların yöneticisi seçimden sonra senatoda sertçe tartıştılar.,experimental,gen,attractorMatch,No,B,Exp1
3,Esnafın yöneticisi seçimden sonra senatoda sertçe tartıştılar.,experimental,gen,noMatch,No,C,Exp1
3,Esnaf yöneticileri seçimden sonra senatoda sertçe tartıştılar.,experimental,nom,targetMatch,Yes,D,Exp1
3,Esnaflar yöneticisi seçimden sonra senatoda sertçe tartıştılar.,experimental,nom,attractorMatch,No,E,Exp1
3,Esnaf yöneticisi seçimden sonra senatoda sertçe tartıştılar.,experimental,nom,noMatch,No,F,Exp1
4,Mültecinin avukatları duruşma için uzun süre hazırlandılar.,experimental,gen,targetMatch,Yes,A,Exp1
4,Mültecilerin avukatı duruşma için uzun süre hazırlandılar.,experimental,gen,attractorMatch,No,B,Exp1
4,Mültecinin avukatı duruşma için uzun süre hazırlandılar.,experimental,gen,noMatch,No,C,Exp1
4,Mülteci avukatları duruşma için uzun süre hazırlandılar.,experimental,nom,targetMatch,Yes,D,Exp1
4,Mülteciler avukatı duruşma için uzun süre hazırlandılar.,experimental,nom,attractorMatch,No,E,Exp1
4,Mülteci avukatı duruşma için uzun süre hazırlandılar.,experimental,nom,noMatch,No,F,Exp1
5,Padişahın tarihçileri yolculuk için yavaşça trene bindiler.,experimental,gen,targetMatch,Yes,B,Exp1
5,Padişahların tarihçisi yolculuk için yavaşça trene bindiler.,experimental,gen,attractorMatch,No,C,Exp1
5,Padişahın tarihçisi yolculuk için yavaşça trene bindiler.,experimental,gen,noMatch,No,D,Exp1
5,Padişah tarihçileri yolculuk için yavaşça trene bindiler.,experimental,nom,targetMatch,Yes,E,Exp1
