Item,Case,Number,Attractor,Target,Adv1,Adv2,Adv3,Adv4,Verb,Sentence
1,gen,targetMatch,Göçmenin,sözcüleri,geçen,hafta,protestoda,aralıksız,bağırdılar.,Göçmenin sözcüleri geçen hafta protestoda aralıksız bağırdılar.
1,gen,attractorMatch,Göçmenlerin,sözcüsü,geçen,hafta,protestoda,aralıksız,bağırdılar.,Göçmenlerin sözcüsü geçen hafta protestoda aralıksız bağırdılar.
1,gen,noMatch,Göçmenin,sözcüsü,geçen,hafta,protestoda,aralıksız,bağırdılar.,Göçmenin sözcüsü geçen hafta protestoda aralıksız bağırdılar.
1,nom,targetMatch,Göçmen,sözcüleri,geçen,hafta,protestoda,aralıksız,bağırdılar.,Göçmen sözcüleri geçen hafta protestoda aralıksız bağırdılar.
1,nom,attractorMatch,Göçmenler,sözcüsü,geçen,hafta,protestoda,aralıksız,bağırdılar.,Göçmenler sözcüsü geçen hafta protestoda aralıksız bağırdılar.
1,nom,noMatch,Göçmen,sözcüsü,geçen,hafta,protestoda,aralıksız,bağırdılar.,Göçmen sözcüsü geçen hafta protestoda aralıksız bağırdılar.
2,gen,targetMatch,Stajyerin,temsilcileri,bugünkü,toplantıda,edepsiz,edepsiz,konuştular.,Stajyerin temsilcileri bugünkü toplantıda edepsiz edepsiz konuştular.
2,gen,attractorMatch,Stajyerlerin,temsilcisi,bugünkü,toplantıda,edepsiz,edepsiz,konuştular.,Stajyerlerin temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.
2,gen,noMatch,Stajyerin,temsilcisi,bugünkü,toplantıda,edepsiz,edepsiz,konuştular.,Stajyerin temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.
2,nom,targetMatch,Stajyer,temsilcileri,bugünkü,toplantıda,edepsiz,edepsiz,konuştular.,Stajyer temsilcileri bugünkü toplantıda edepsiz edepsiz konuştular.
2,nom,attractorMatch,Stajyerler,temsilcisi,bugünkü,toplantıda,edepsiz,edepsiz,konuştular.,Stajyerler temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.
2,nom,noMatch,Stajyer,temsilcisi,bugünkü,toplantıda,edepsiz,edepsiz,konuştular.,Stajyer temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.
3,gen,targetMatch,Esnafın,yöneticileri,seçimden,sonra,senatoda,sertçe,tartıştılar.,Esnafın yöneticileri seçimden sonra senatoda sertçe tartıştılar.
3,gen,attractorMatch,Esnafların,yöneticisi,seçimden,sonra,senatoda,sertçe,tartıştılar.,Esnafların yöneticisi seçimden sonra senatoda sertçe tartıştılar.
3,gen,noMatch,Esnafın,yöneticisi,seçimden,sonra,senatoda,sertçe,tartıştılar.,Esnafın yöneticisi seçimden sonra senatoda sertçe tartıştılar.
3,nom,targetMatch,Esnaf,yöneticileri,seçimden,sonra,senatoda,sertçe,tartıştılar.,Esnaf yöneticileri seçimden sonra senatoda sertçe tartıştılar.
3,nom,attractorMatch,Esnaflar,yöneticisi,seçimden,sonra,senatoda,sertçe,tartıştılar.,Esnaflar yöneticisi seçimden sonra senatoda sertçe tartıştılar.
3,nom,noMatch,Esnaf,yöneticisi,seçimden,sonra,senatoda,sertçe,tartıştılar.,Esnaf yöneticisi seçimden sonra senatoda sertçe tartıştılar.
4,gen,targetMatch,Mültecinin,avukatları,duruşma,için,uzun,süre,hazırlandılar.,Mültecinin avukatları duruşma için uzun süre hazırlandılar.
4,gen,attractorMatch,Mültecilerin,avukatı,duruşma,için,uzun,süre,hazırlandılar.,Mültecilerin avukatı duruşma için uzun süre hazırlandılar.
4,gen,noMatch,Mültecinin,avukatı,duruşma,için,uzun,süre,hazırlandılar.,Mültecinin avukatı duruşma için uzun süre hazırlandılar.
4,nom,targetMatch,Mülteci,avukatları,duruşma,için,uzun,süre,hazırlandılar.,Mülteci avukatları duruşma için uzun süre hazırlandılar.
4,nom,attractorMatch,Mülteciler,avukatı,duruşma,için,uzun,süre,hazırlandılar.,Mülteciler avukatı duruşma için uzun süre hazırlandılar.
4,nom,noMatch,Mülteci,avukatı,duruşma,için,uzun,süre,hazırlandılar.,Mülteci avukatı duruşma için uzun süre hazırlandılar.
5,gen,targetMatch,Padişahın,tarihçileri,yolculuk,için,yavaşça,trene,bindiler.,Padişahın tarihçileri yolculuk için yavaşça trene bindiler.
5,gen,attractorMatch,Padişahların,tarihçisi,yolculuk,için,yavaşça,trene,bindiler.,Padişahların tarihçisi yolculuk için yavaşça trene bindiler.
5,gen,noMatch,Padişahın,tarihçisi,yolculuk,için,yavaşça,trene,bindiler.,Padişahın tarihçisi yolculuk için yavaşça trene bindiler.
5,nom,targetMatch,Padişah,tarihçileri,yolculuk,için,yavaşça,trene,bindiler.,Padişah tarihçileri yolculuk için yavaşça trene bindiler.
5,nom,attractorMatch,Padişahlar,tarihçisi,yolculuk,için,yavaşça,trene,bindiler.,Padişahlar tarihçisi yolculuk için yavaşça trene bindiler.
5,nom,noMatch,Padişah,tarihçisi,yolculuk,için,yavaşça,trene,bindiler.,Padişah tarihçisi yolculuk için yavaşça trene bindiler.
6,gen,targetMatch,Marangozun,ustaları,çoktan ,yeni,semtteki,atölyeye,ulaşmışlar.,Marangozun ustaları çoktan  yeni semtteki atölyeye ulaşmışlar.
6,gen,attractorMatch,Marangozların,ustası,çoktan ,yeni,semtteki,atölyeye,ulaşmışlar.,Marangozların ustası çoktan  yeni semtteki atölyeye ulaşmışlar.
